video ID,title,no of views,no of likes,no of comments
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),29033056,148033,911
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,57477443,1043501,43354
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),1685242,14180,387
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,12674205,80896,8934
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5193224,22458,654
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,1547039,5164,90
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,2339686,48188,1646
V67Ytgs6KJo,Avatar: First Movie RECAP,593239,10156,315
0t6FWiInzYg,Avatar ( full movie ) 2009,308,2,1
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),149703,15139,614
QOg9LUIvaig,"AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix",2902253,49506,3599
u3_Uhq6qxhU,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,439889,3775,663
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2248900,17570,626
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,31886402,190360,3665
zybXR9aEX8g,First Look at New Avatar Movie Just Leaked,261619,8873,993
noVddIRzn3o,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,135702554,1078410,3089
kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,23790768,1013875,3150
SCAiHCvNKhM,Did You Notice This in AVATAR? #shorts,1793589,156304,529
VjIdoK0xM5E,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,978380,3465,84
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),401723,3598,175
ZM2k1UmcCXg,"AVATAR Clip - ""Ikran"" (2009)",28291852,162920,2200
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,1406709,17814,512
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,27567269,683255,29184
72wSXxDBXs8,What Happened To Jake Sully's Human Body?,2605541,185758,726
cMzwBkBdX6w,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,795974,58106,252
f5Zx8iPek5I,Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮,7332377,335245,3829
iLmYtr5Db4w,Avatar 2 Full Movie - Hollywood Full Movie 2023 - Full Movies in English 𝐅𝐮𝐥𝐥 𝐇𝐃 1080,388414,1291,34
GlpBGP8HrGE,Avatar The Last Airbender Movie 2025 Teaser Breakdown and Easter Eggs,246049,6160,542
Cimy6T1nczw,Avatar Scenes Without CGI,16063636,120431,1647
yRR1K9dmhxw,"Behind the scenes of Avatar, Zoe Saldana and Sam Worthington  #avatar #samworthington #zoesaldana",5761520,244926,938
CyUXe8xAx9U,Did you spot this in AVATAR: THE WAY OF WATER,180059,20035,242
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),377055,3873,180
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,9987470,77574,0
rM8ogjwity8,Avatar: The Way of Water - How It Should Have Ended,1309106,72279,2337
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,298959,20125,3225
Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),1788479,9276,127
cP64rRWGxzU,Avatar 3 EXCITING New Details REVEALED..,182991,5191,384
IPQ5vTqqdgE,How Avatar’s VFX Became So Realistic | Movies Insider | Insider,588725,14735,432
x0MwXUNhXKc,"AVATAR 2 - New Trailer, Movies 2022 / 4K Ultra HD",34844099,209346,3677
n76KALvTN3Q,Avatar: The Way of Water (2022) - Lo'ak Rush to Save Payakan,1233381,3613,43
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),1108858,15295,811
Z5u4fqNIo74,Now you’re in the stars🤍 #avatar #avatar2 #avatarthewayofwater #neteyam,482177,49413,819
P6sv0RVV27Q,Avatar The Last Airbender Trailer 2024 Netflix Breakdown and Easter Eggs,686191,9076,757
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),239539,3151,144
N_c8vTay6-k,Avatar 2 scenepack ‘child scenes’,287449,3530,129
ZwXnF6G4qOQ,PERANG MELAWAN KERAJAAN LAUT PLANET PANDORA | ALUR CERITA FILM AVATAR THE WAY OF WATER (2022),407948,6972,502
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),366298,3016,505
Cx-sgFYXd2k,Honest Trailers | Avatar: The Way of Water,2412613,70401,4154
Mw192fc8LsQ,Lo'ak & Tsireya - The Way of Water,4415946,22764,237
Zy3l3Opr5l0,The Truth about Kiri in AVATAR: THE WAY OF WATER,469375,41764,313
